exp_name,rep_id,trial_id,gen,replay_gen,fitness_mean,fitness_max,scores_entropy,scores_unique,collective_score
2024_11_26_01__exploration_tournament,043,9,49900,4,8028.9,9900,3.63975,181,9900
2024_11_26_01__exploration_tournament,043,10,49900,4,7950.29,9900,3.93166,196,9900
2024_11_26_01__exploration_tournament,043,11,49900,4,7739.06,9900,4.21744,210,9900
2024_11_26_01__exploration_tournament,043,12,49900,4,7771.27,9900,4.03832,200,9900
2024_11_26_01__exploration_tournament,043,13,49900,4,7725.66,9900,4.06716,203,9900
2024_11_26_01__exploration_tournament,043,14,49900,4,7794.86,9900,4.04383,201,9900
2024_11_26_01__exploration_tournament,043,15,49900,4,7637.29,9900,4.06716,203,9900
2024_11_26_01__exploration_tournament,043,16,49900,4,7688.25,9900,4.30803,214,9900
2024_11_26_01__exploration_tournament,043,17,49900,4,7982.5,9900,3.75276,186,9900
2024_11_26_01__exploration_tournament,043,18,49900,4,8167.52,9900,3.52241,175,9900
2024_11_26_01__exploration_tournament,043,19,49900,4,7410.25,9900,4.5662,229,9900
2024_11_26_01__exploration_tournament,043,20,49900,4,7917.91,9900,3.87344,193,9900
2024_11_26_01__exploration_tournament,043,21,49900,4,7910.72,9900,3.84451,190,9900
2024_11_26_01__exploration_tournament,043,22,49900,4,8191.94,9900,3.56512,175,9900
2024_11_26_01__exploration_tournament,043,23,49900,4,7958.28,9900,4.02849,201,9900
2024_11_26_01__exploration_tournament,043,24,49900,4,7949.7,9900,3.71779,185,9900
2024_11_26_01__exploration_tournament,043,25,49900,4,7896.31,9900,3.86944,192,9900
2024_11_26_01__exploration_tournament,043,26,49900,4,7770.88,9900,4.14038,206,9900
2024_11_26_01__exploration_tournament,043,27,49900,4,7985.09,9900,4.05765,201,9900
2024_11_26_01__exploration_tournament,043,28,49900,4,7598.27,9900,4.25991,213,9900
2024_11_26_01__exploration_tournament,043,29,49900,4,7928.49,9900,3.92766,195,9900
2024_11_26_01__exploration_tournament,043,30,49900,4,8089.5,9900,3.71406,182,9900
2024_11_26_01__exploration_tournament,043,31,49900,4,8013.49,9900,3.79569,189,9900
2024_11_26_01__exploration_tournament,043,32,49900,4,7925.53,9900,3.73728,186,9900
2024_11_26_01__exploration_tournament,043,33,49900,4,7840.31,9900,3.92766,195,9900
2024_11_26_01__exploration_tournament,043,34,49900,4,7814.88,9900,4.02849,201,9900
2024_11_26_01__exploration_tournament,043,35,49900,4,7868.3,9900,3.95104,197,9900
2024_11_26_01__exploration_tournament,043,36,49900,4,7874.46,9900,3.98979,199,9900
2024_11_26_01__exploration_tournament,043,37,49900,4,7950.48,9900,3.99964,198,9900
2024_11_26_01__exploration_tournament,043,38,49900,4,8032.71,9900,3.56156,177,9900
2024_11_26_01__exploration_tournament,043,39,49900,4,7810.47,9900,3.83459,191,9900
2024_11_26_01__exploration_tournament,043,40,49900,4,7949.91,9900,3.81859,188,9900
2024_11_26_01__exploration_tournament,043,41,49900,4,7816.83,9900,4.15966,207,9900
2024_11_26_01__exploration_tournament,043,42,49900,4,7857.47,9900,3.90826,194,9900
2024_11_26_01__exploration_tournament,043,43,49900,4,8027.69,9900,3.67479,182,9900
2024_11_26_01__exploration_tournament,043,44,49900,4,7815.48,9900,3.92215,194,9900
2024_11_26_01__exploration_tournament,043,45,49900,4,7914.32,9900,3.79169,188,9900
2024_11_26_01__exploration_tournament,043,46,49900,4,7807.11,9900,3.88886,193,9900
2024_11_26_01__exploration_tournament,043,47,49900,4,7648.48,9900,4.12509,206,9900
2024_11_26_01__exploration_tournament,043,48,49900,4,7920.3,9900,3.87344,193,9900
2024_11_26_01__exploration_tournament,043,49,49900,4,7954.29,9900,3.98579,198,9900
2024_11_26_01__exploration_tournament,043,50,49900,4,7848.3,9900,3.87344,193,9900
2024_11_26_01__exploration_tournament,043,1,49900,5,7943.11,9900,3.71379,184,9900
2024_11_26_01__exploration_tournament,043,2,49900,5,7824.1,9900,3.88886,193,9900
2024_11_26_01__exploration_tournament,043,3,49900,5,7874.86,9900,3.93166,196,9900
2024_11_26_01__exploration_tournament,043,4,49900,5,8028.9,9900,3.63975,181,9900
2024_11_26_01__exploration_tournament,043,5,49900,5,7950.29,9900,3.93166,196,9900
2024_11_26_01__exploration_tournament,043,6,49900,5,7739.06,9900,4.21744,210,9900
2024_11_26_01__exploration_tournament,043,7,49900,5,7771.27,9900,4.03832,200,9900
2024_11_26_01__exploration_tournament,043,8,49900,5,7725.66,9900,4.06716,203,9900
2024_11_26_01__exploration_tournament,043,9,49900,5,7794.86,9900,4.04383,201,9900
2024_11_26_01__exploration_tournament,043,10,49900,5,7637.29,9900,4.06716,203,9900
2024_11_26_01__exploration_tournament,043,11,49900,5,7688.25,9900,4.30803,214,9900
2024_11_26_01__exploration_tournament,043,12,49900,5,7982.5,9900,3.75276,186,9900
2024_11_26_01__exploration_tournament,043,13,49900,5,8167.52,9900,3.52241,175,9900
2024_11_26_01__exploration_tournament,043,14,49900,5,7410.25,9900,4.5662,229,9900
2024_11_26_01__exploration_tournament,043,15,49900,5,7917.91,9900,3.87344,193,9900
2024_11_26_01__exploration_tournament,043,16,49900,5,7910.72,9900,3.84451,190,9900
2024_11_26_01__exploration_tournament,043,17,49900,5,8191.94,9900,3.56512,175,9900
2024_11_26_01__exploration_tournament,043,18,49900,5,7958.28,9900,4.02849,201,9900
2024_11_26_01__exploration_tournament,043,19,49900,5,7949.7,9900,3.71779,185,9900
2024_11_26_01__exploration_tournament,043,20,49900,5,7896.31,9900,3.86944,192,9900
2024_11_26_01__exploration_tournament,043,21,49900,5,7770.88,9900,4.14038,206,9900
2024_11_26_01__exploration_tournament,043,22,49900,5,7985.09,9900,4.05765,201,9900
2024_11_26_01__exploration_tournament,043,23,49900,5,7598.27,9900,4.25991,213,9900
2024_11_26_01__exploration_tournament,043,24,49900,5,7928.49,9900,3.92766,195,9900
2024_11_26_01__exploration_tournament,043,25,49900,5,8089.5,9900,3.71406,182,9900
2024_11_26_01__exploration_tournament,043,26,49900,5,8013.49,9900,3.79569,189,9900
2024_11_26_01__exploration_tournament,043,27,49900,5,7925.53,9900,3.73728,186,9900
2024_11_26_01__exploration_tournament,043,28,49900,5,7840.31,9900,3.92766,195,9900
2024_11_26_01__exploration_tournament,043,29,49900,5,7814.88,9900,4.02849,201,9900
2024_11_26_01__exploration_tournament,043,30,49900,5,7868.3,9900,3.95104,197,9900
2024_11_26_01__exploration_tournament,043,31,49900,5,7874.46,9900,3.98979,199,9900
2024_11_26_01__exploration_tournament,043,32,49900,5,7950.48,9900,3.99964,198,9900
2024_11_26_01__exploration_tournament,043,33,49900,5,8032.71,9900,3.56156,177,9900
2024_11_26_01__exploration_tournament,043,34,49900,5,7810.47,9900,3.83459,191,9900
2024_11_26_01__exploration_tournament,043,35,49900,5,7949.91,9900,3.81859,188,9900
2024_11_26_01__exploration_tournament,043,36,49900,5,7816.83,9900,4.15966,207,9900
2024_11_26_01__exploration_tournament,043,37,49900,5,7857.47,9900,3.90826,194,9900
2024_11_26_01__exploration_tournament,043,38,49900,5,8027.69,9900,3.67479,182,9900
2024_11_26_01__exploration_tournament,043,39,49900,5,7815.48,9900,3.92215,194,9900
2024_11_26_01__exploration_tournament,043,40,49900,5,7914.32,9900,3.79169,188,9900
2024_11_26_01__exploration_tournament,043,41,49900,5,7807.11,9900,3.88886,193,9900
2024_11_26_01__exploration_tournament,043,42,49900,5,7648.48,9900,4.12509,206,9900
2024_11_26_01__exploration_tournament,043,43,49900,5,7920.3,9900,3.87344,193,9900
2024_11_26_01__exploration_tournament,043,44,49900,5,7954.29,9900,3.98579,198,9900
2024_11_26_01__exploration_tournament,043,45,49900,5,7848.3,9900,3.87344,193,9900
2024_11_26_01__exploration_tournament,043,46,49900,5,8018.69,9900,3.77623,188,9900
2024_11_26_01__exploration_tournament,043,47,49900,5,7947.27,9900,4.07697,202,9900
2024_11_26_01__exploration_tournament,043,48,49900,5,7790.86,9900,4.12509,206,9900
2024_11_26_01__exploration_tournament,043,49,49900,5,7773.28,9900,4.04783,202,9900
2024_11_26_01__exploration_tournament,043,50,49900,5,7944.1,9900,3.75676,187,9900
2024_11_26_01__exploration_tournament,043,1,49900,6,7739.06,9900,4.21744,210,9900
2024_11_26_01__exploration_tournament,043,2,49900,6,7771.27,9900,4.03832,200,9900
2024_11_26_01__exploration_tournament,043,3,49900,6,7725.66,9900,4.06716,203,9900
2024_11_26_01__exploration_tournament,043,4,49900,6,7794.86,9900,4.04383,201,9900
2024_11_26_01__exploration_tournament,043,5,49900,6,7637.29,9900,4.06716,203,9900
2024_11_26_01__exploration_tournament,043,6,49900,6,7688.25,9900,4.30803,214,9900
2024_11_26_01__exploration_tournament,043,7,49900,6,7982.5,9900,3.75276,186,9900
2024_11_26_01__exploration_tournament,043,8,49900,6,8167.52,9900,3.52241,175,9900
