Generation,phylogenetic_diversity,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness
2180,44019,1193.52,1,3006,1.70708e+06,-1,-1,-1,0
2190,44411,1250.17,1,3022,1.72668e+06,-1,-1,-1,0
2200,44726,1361.6,1,3039,1.82459e+06,-1,-1,-1,0
2210,45087,1220.72,1,3055,1.77413e+06,-1,-1,-1,0
2220,45436,1266.71,1,3070,1.81761e+06,-1,-1,-1,0
2230,44337,1307.97,1,3088,1.84745e+06,-1,-1,-1,0
2240,44531,1332.5,1,3102,1.91248e+06,-1,-1,-1,0
2250,44963,1298.17,1,3118,1.86836e+06,-1,-1,-1,0
2260,45011,1304.93,1,3132,1.87507e+06,-1,-1,-1,0
2270,45296,1255.51,1,3148,1.85088e+06,-1,-1,-1,0
2280,45374,1259.08,1,3167,1.83831e+06,-1,-1,-1,0
2290,45730,1305.56,1,3184,1.90208e+06,-1,-1,-1,0
2300,46072,1279.8,1,3198,1.8746e+06,-1,-1,-1,0
2310,46360,1399.46,1,3214,2.00974e+06,-1,-1,-1,0
2320,46730,1310.54,1,3226,1.95752e+06,-1,-1,-1,0
2330,46988,1444.95,1,3240,2.05037e+06,-1,-1,-1,0
2340,47431,1395.83,1,3253,2.02985e+06,-1,-1,-1,0
2350,47661,1470.29,1,3266,2.06328e+06,-1,-1,-1,0
2360,47832,1375.78,1,3281,2.05882e+06,-1,-1,-1,0
2370,48180,1378.18,1,3296,1.99027e+06,-1,-1,-1,0
2380,48603,1406.64,1,3312,2.06124e+06,-1,-1,-1,0
2390,48883,1398.1,1,3328,2.0222e+06,-1,-1,-1,0
2400,48900,1443.49,1,3339,2.10301e+06,-1,-1,-1,0
2410,49272,1362.73,1,3351,2.05091e+06,-1,-1,-1,0
2420,49471,1451.13,1,3362,2.09885e+06,-1,-1,-1,0
2430,49470,1490.48,1,3376,2.17905e+06,-1,-1,-1,0
2440,49620,1398.35,1,3391,2.12992e+06,-1,-1,-1,0
2450,49590,1376.34,1,3404,2.13791e+06,-1,-1,-1,0
2460,49639,1484.74,1,3419,2.29457e+06,-1,-1,-1,0
2470,49979,1498.49,1,3435,2.23189e+06,-1,-1,-1,0
2480,50336,1365.85,1,3448,2.21594e+06,-1,-1,-1,0
2490,50536,1384.89,1,3461,2.2332e+06,-1,-1,-1,0
2500,50773,1514.39,1,3477,2.2588e+06,-1,-1,-1,0
2510,51154,1494.2,1,3489,2.32038e+06,-1,-1,-1,0
2520,51510,1578.26,1,3505,2.36259e+06,-1,-1,-1,0
2530,51842,1550.33,1,3521,2.31588e+06,-1,-1,-1,0
2540,52059,1539.88,1,3535,2.35197e+06,-1,-1,-1,0
2550,52088,1521.04,1,3549,2.38106e+06,-1,-1,-1,0
2560,52524,1428.02,1,3561,2.30256e+06,-1,-1,-1,0
2570,52897,1599.96,1,3575,2.34543e+06,-1,-1,-1,0
2580,53122,1628.32,1,3589,2.52326e+06,-1,-1,-1,0
2590,53307,1500.16,1,3606,2.46055e+06,-1,-1,-1,0
2600,53684,1626.26,1,3624,2.46946e+06,-1,-1,-1,0
2610,53873,1627.4,1,3638,2.47557e+06,-1,-1,-1,0
2620,53997,1614.48,1,3653,2.51956e+06,-1,-1,-1,0
2630,54120,1575.55,1,3661,2.4844e+06,-1,-1,-1,0
2640,54345,1546.86,1,3678,2.51852e+06,-1,-1,-1,0
2650,54789,1611.27,1,3696,2.53196e+06,-1,-1,-1,0
2660,55137,1654.18,1,3710,2.58801e+06,-1,-1,-1,0
2670,54902,1653.33,1,3725,2.62581e+06,-1,-1,-1,0
2680,55235,1701.5,1,3742,2.73431e+06,-1,-1,-1,0
2690,55426,1580.81,1,3756,2.71024e+06,-1,-1,-1,0
2700,55585,1625.76,1,3771,2.64983e+06,-1,-1,-1,0
2710,55895,1640.08,1,3788,2.658e+06,-1,-1,-1,0
